 #BLOK001# 3DCUBUK PROBLEMI
   0.   1.   0.    .0000000000    0    2    1   12    0    1
 #BLOK003# R1    R2    R3    R4  H  Alfa1 Alfa2 Tur
    3    1    5    1    2    1
       .0060000000       .0150000000       .0000000000       .0000000000         .0450000000        8.4602271183         .0000000000        4.00000     240.0
 #BLOK004# NOD X  Y  Z  ACI Ux  Uy  Uz  Dx  Dy  Dz  Tx Ty  Tz Mx  My  Mz  IBIT
   1.         .0060000000         .0000000000         .0000000000      .000000000000000000   1.   1.   1.   1.   1.   1.   0.   0.   0.   0.   0.   0.   0.
   2.         .0061156881         .0006427847         .0000971957      .104719755119659800   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   3.         .0061598845         .0013093239         .0001966070      .209439510239319500   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   4.         .0061289648         .0019914214         .0002982199      .314159265358979300   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   5.         .0060202646         .0026803945         .0004020196      .418879020478639100   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   6.         .0058321398         .0033671875         .0005079913      .523598775598298800   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   7.         .0055640144         .0040424931         .0006161199      .628318530717958600   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   8.         .0052164122         .0046968787         .0007263897      .733038285837618400   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   9.         .0047909751         .0053209170         .0008387851      .837758040957278200   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  10.         .0042904650         .0059053184         .0009532899      .942477796076938100   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  11.         .0037187500         .0064410639         .0010698879     1.047197551196598000   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  12.         .0030807759         .0069195359         .0011885627     1.151917306316258000   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  13.         .0023825210         .0073326457         .0013092976     1.256637061435917000   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  14.         .0016309373         .0076729566         .0014320759     1.361356816555577000   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  15.         .0008338758         .0079337984         .0015568805     1.466076571675237000   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  16.         .0000000000         .0081093750         .0016836943     1.570796326794896000   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  17.        -.0008613145         .0081948604         .0018125000     1.675516081914556000   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
